TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Casa en venta,7726229,320 m²,328.65m²,1277955,2,16 a 30 años,8,5,1,Engativá - Bogotá,Preguntar al anunciante,419999910
Apartamento en venta,7347468,77 m²,77.0m²,4675324,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,359999948
Apartamento en venta,7919483,64 m²,64.0m²,3750000,3,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,240000000
Casa en venta,7764100,110 m²,110.0m²,2363636,2,9 a 15 años,3,3,1,Engativá - Bogotá,carrera 120B # 63A-26,259999960
Casa en venta,7738828,161 m²,165.0m²,3030303,3,más de 30 años,5,2,0,Engativá - Bogotá,CALLE 77  69Q 12,499999995
Casa en venta,7737397,91 m²,91.0m²,6043956,2,16 a 30 años,0,1,1,Engativá - Bogotá,Transversal 113 F # 64 A - 21,549999996
Casa en venta,7291604,0 m²,220.0m²,2681818,3,Sin información,8,3,1,Engativá - Bogotá,Preguntar al anunciante,589999960
Casa en venta,8025879,0 m²,92.0m²,4130434,3,más de 30 años,3,3,1,Engativá - Bogotá,Preguntar al anunciante,379999928
Apartamento en venta,8022852,0 m²,47.0m²,3723404,3,Sin información,0,1,0,Engativá - Bogotá,Preguntar al anunciante,174999988
Casa en venta,7962207,79 m²,250.0m²,800000,3,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,200000000
Casa en venta,7677269,154 m²,154.0m²,1688311,2,9 a 15 años,6,3,0,Engativá - Bogotá,calle66b #125-63,259999894
Apartaestudio en venta,6546810,37 m²,40.0m²,3250000,3,menor a 1 año,1,1,0,Engativá - Bogotá,Preguntar al anunciante,130000000
Apartamento en venta,7508704,0 m²,63.0m²,4126984,3,más de 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,259999992
Casa en venta,7804586,104 m²,104.0m²,4326923,3,16 a 30 años,3,3,3,Engativá - Bogotá,Preguntar al anunciante,449999992
Casa en venta,6757055,0 m²,63.25m²,6007905,2,16 a 30 años,9,4,0,Engativá - Bogotá,Preguntar al anunciante,379999991
Casa en venta,7977110,0 m²,370.0m²,1324324,3,16 a 30 años,8,6,2,Engativá - Bogotá,Preguntar al anunciante,489999880
Apartamento en venta,7995390,40 m²,40.0m²,4750000,3,1 a 8 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,190000000
Apartamento en venta,7957669,0 m²,66.0m²,2712121,2,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,178999986
Casa en venta,6943510,252 m²,252.0m²,2301587,2,más de 30 años,6,3,0,Engativá - Bogotá,Preguntar al anunciante,579999924
Casa en venta,7573679,123 m²,75.0m²,5600000,3,16 a 30 años,3,1,1,Engativá - Bogotá,Preguntar al anunciante,420000000
Apartamento en venta,7894143,0 m²,68.0m²,4705882,4,16 a 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,319999976
Casa en venta,7554459,0 m²,65.0m²,3476923,3,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,225999995
Apartamento en venta,7563678,0 m²,38.0m²,3947368,2,9 a 15 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,149999984
