TIPO_INMUEBLE,ESTRATO,ANTIGUEDAD,PARQUEADEROS,HABITACIONES,BAÑOS,ÁREA CONSTRUIDA M2,PRECIO M2 MMP
Apartamento en venta,4,1 a 8 años,SI,3,2,68.0,4.26
Casa en venta,2,9 a 15 años,SI,3,3,108.0,2.08
Apartamento en venta,4,1 a 8 años,SI,3,2,69.0,4.59
Apartamento en venta,3,1 a 8 años,NO,3,2,50.0,3.6
Apartamento en venta,3,menor a 1 año,SI,3,2,82.0,4.56
Casa en venta,2,1 a 8 años,NO,10,7,328.0,2.07
Casa en venta,2,16 a 30 años,SI,8,2,315.0,2.03
Apartamento en venta,2,1 a 8 años,NO,3,2,54.0,2.59
Casa en venta,3,más de 30 años,SI,2,4,220.0,2.45
Casa en venta,2,9 a 15 años,SI,9,6,288.0,2.15
